title,href,area,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,2009,2010,2011,2012,2013,2014,2015,2016
产品经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86/,"
计算机/网络/技术类

♦
♦

",5330,10760,15800,16790,20880,,5108,5464,8013,7760,8273,11715,15475,15253
java开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6870,10290,14400,18730,20480,,6304,3713,6809,7627,8219,9439,12864,12011
java工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6540,10170,14510,18840,20690,,7626,5463,6772,7560,8330,9325,12969,12517
软件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6160,9360,11650,16500,17900,,5156,5470,6465,6966,7476,7940,10399,9990
前端开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%89%8D%E7%AB%AF%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",8490,11090,14990,20100,23610,,7582,4427,6984,7289,8102,10568,13527,13117
技术支持工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8A%80%E6%9C%AF%E6%94%AF%E6%8C%81%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",4640,6180,7940,8910,13380,,3014,2596,4067,4110,4257,4620,6204,6477
硬件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%A1%AC%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5800,8200,10550,15000,16510,,4033,4461,5550,5354,5172,6901,9866,10054
android开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-android%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6940,11530,15840,19590,23130,,6304,7749,8722,8466,8544,11972,15047,15223
高级产品经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86/,"
计算机/网络/技术类

♦
♦

",14310,20880,20760,24530,,,7311,5999,15687,12532,16027,19051,19766,20030
高级java开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7java%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",11620,13130,17210,19110,20600,,7030,5534,9565,9368,10393,15008,17051,17368
ios开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-ios%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",11600,12250,16170,20570,24300,,6304,7749,10345,9506,8753,12484,15560,15505
售前工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%94%AE%E5%89%8D%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5470,7750,10110,12110,15020,,4389,3027,5002,5152,5354,6943,8850,9016
web前端开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-web%E5%89%8D%E7%AB%AF%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",7660,10800,14160,19080,22890,,12499,6374,7358,6709,8182,9660,13117,12243
网络工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BD%91%E7%BB%9C%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5290,7050,9410,14210,16410,,3341,3307,4849,4768,4881,5510,8171,8212
高级java工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7java%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",12500,12990,17180,19230,20940,,7822,5749,9619,9540,10785,14283,17002,17393
web前端,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-web%E5%89%8D%E7%AB%AF/,"
计算机/网络/技术类

♦
♦

",5230,10570,14140,20100,23390,,5582,5915,6604,5930,7465,9263,12855,12614
软件开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6890,10140,12210,17000,17800,,4810,5642,6735,7256,7644,8133,10653,10052
网站编辑,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BD%91%E7%AB%99%E7%BC%96%E8%BE%91/,"
计算机/网络/技术类

♦
♦

",4110,5430,6010,8250,10630,,2191,2286,3096,3296,3501,4150,5319,5594
php开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-php%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5540,10900,15340,19950,21430,,5332,7349,6875,7922,8531,9456,14553,14735
